comarca,municipio,cantidad,total_presupuesto,total_certificado,total_pendiente
Área Metropolitana,Madrid,19,566996.04,146577.7,420418.34
Maresme,Sin municipio,8,214130.84,126483.74,87647.1
Duranguesado,Sin municipio,15,431565.2,115436.3,316128.9
Donostialdea,Pasaia,1,37943.54,0.0,37943.54
La Garrotxa,Sin municipio,15,358960.43,260572.63,98387.8
Rioja Alavesa,Sin municipio,12,352333.31,243471.64,108861.67
Horta Sud,Sin municipio,15,391836.83,232548.54,159288.29
Cuenca de Pamplona,Pamplona,9,178049.34,35702.31,142347.03
Lea-Artibai,Sin municipio,7,177948.64,145064.37,32884.27
Horta Nord,Valencia,5,82080.2,54998.01,27082.19
Vallès Occidental,Terrassa,2,20114.86,18346.01,1768.85
Tolosaldea,Sin municipio,10,239300.7,143201.76,96098.94
Barcelonés,Barcelona,4,90935.96,18281.47,72654.49
Urola Kosta,Sin municipio,10,266991.96,80340.27,186651.69
Donostialdea,Donostia,4,83144.79,37275.55,45869.24
Cuadrilla de Vitoria,Vitoria-Gasteiz,15,447973.09,187132.04,260841.05
La Selva,Sin municipio,12,299613.38,130801.88,168811.5
Gran Bilbao,Getxo,2,59401.38,54926.55,4474.83
Gran Bilbao,Barakaldo,2,70255.02,29711.04,40543.98
Cuenca de Pamplona,Barañain,18,392420.01,187752.92,204667.09
Donostialdea,Errenteria,2,26401.87,8220.31,18181.56
Baix Llobregat,Sin municipio,4,110844.0,56060.14,54783.86
Gran Bilbao,Bilbao,1,9137.75,4162.71,4975.04
Barcelonés,L'Hospitalet de Llobregat,4,80493.0,57746.24,22746.76
Vallès Occidental,Cerdanyola del Vallès,1,25876.32,26397.51,-521.19
Vallès Occidental,Sabadell,2,62482.38,46174.94,16307.44
Gran Bilbao,Portugalete,1,24494.12,11148.5,13345.62
