provincia,comarca,cantidad,total_presupuesto,total_certificado,total_pendiente
Madrid,Área Metropolitana,19,566996.04,146577.7,420418.34
Barcelona,Maresme,8,214130.84,126483.74,87647.1
Bizkaia,Duranguesado,15,431565.2,115436.3,316128.9
Gipuzkoa,Donostialdea,7,147490.2,45495.86,101994.34
Girona,La Garrotxa,15,358960.43,260572.63,98387.8
Álava,Rioja Alavesa,12,352333.31,243471.64,108861.67
Valencia,Horta Sud,15,391836.83,232548.54,159288.29
Navarra,Cuenca de Pamplona,27,570469.35,223455.23,347014.12
Bizkaia,Lea-Artibai,7,177948.64,145064.37,32884.27
Valencia,Horta Nord,5,82080.2,54998.01,27082.19
Barcelona,Vallès Occidental,5,108473.56,90918.46,17555.1
Gipuzkoa,Tolosaldea,10,239300.7,143201.76,96098.94
Barcelona,Barcelonés,8,171428.96,76027.71,95401.25
Gipuzkoa,Urola Kosta,10,266991.96,80340.27,186651.69
Álava,Cuadrilla de Vitoria,15,447973.09,187132.04,260841.05
Girona,La Selva,12,299613.38,130801.88,168811.5
Bizkaia,Gran Bilbao,6,163288.27,99948.8,63339.47
Barcelona,Baix Llobregat,4,110844.0,56060.14,54783.86
